ID,B,Br_1,Br_1,C_1,C_2,C_3,C_4,Cl_1,Cl_2,Cl_3,F_1,F_2,H_1,H_2,I_1,I_2,I_3,N_1,N_2,N_3,N_4,O_1,O_2,O_3,P_1,P_2,P_3,S_1,S_2,S_3,S_4,Si_1,Si_2
PIXQUK_FSR,0,0,0,19.048,139.683,63.492,19.048,0,0,0,0,0,232.627,34.463,0,0,0,0,0,0,0,0,169.29,0,0,0,0,0,0,0,0,0,0
ASUBIZ_FSR,0,0,0,0,299.643,59.929,59.929,0,0,0,0,0,229.832,57.458,0,0,0,0,0,0,0,0,275.36,0,0,0,0,23.27,0,0,0,0,0
core_LIFWOO_freeONLY,0,0,0,0,94.555,94.555,0,0,0,0,80.2,0,466.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UKUBUY_FSR,0,0,0,0,262.454,284.326,0,0,0,0,0,0,469.21,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0.27,0,0,0,0,0
RIVDEF_FSR,0,0,0,0,96.819,58.091,0,0,0,0,0,0,384.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYJIA_FSR,0,0,0,0,689.543,344.771,172.386,0,0,0,0,0,562.86,0,0,0,0,0,102.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core_UKUBOS_freeONLY,0,0,0,0,274.186,297.034,0,0,0,0,0,0,485.57,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0.18,0,0,0,0,0
FAPTIB_FSR,0,0,0,0,515.235,400.738,114.497,0,0,0,0,0,456.593,83.017,0,0,0,6.583,13.167,0,0,0,20.76,0,0,0,0,0,0,0,0,0,0
core_GAXQIH_freeONLY,0,0,0,0,30.705,42.219,7.676,0,0,0,0,0,139.125,25.295,0,0,0,0,72.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XOPVII_FSR,0,0,0,0,340.083,340.083,75.574,0,0,0,0,0,549.5,0,0,0,0,0,0,0,0,0,2.48,0,0,0,0,0,0,0,0,0,0
CADZOY_FSR,0,0,0,0,0,2.76,0,0,0,0,0,0,0,710.89,0,0,0,0,493.9,0,0,231.08,231.08,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o1_o12_pcu_sym_51,0,0,322.79,18.19,72.76,72.76,36.38,0,0,0,0,0,187.75,0,0,0,0,0,0.2,0,0,0,17.94,0,0,0,0,0,0,0,0,0,0
YAYRIC02_FSR,0,0,0,5.971,65.686,17.914,14.929,0,0,0,0,0,140.05,0,0,0,0,0,0,0,0,0,61.21,0,0,0,0,0,0,0,0,0,0
EWALUK_FSR,0,0,0,176.111,352.222,176.111,88.056,0,0,0,0,0,1585.12,0,0,0,0,0,0,0,0,4.41,52.92,0,0,0,0,0,0,0,0,0,0
NAZBAT_FSR,0,0,0,0,467.058,200.167,133.445,0,0,0,0,0,304.69,0,0,0,0,0,0,0,0,0,225.07,0,0,0,0,0,0,0,0,0,0
INALOA_FSR,0,0,0,0,10.99,4.71,3.14,0,0,0,0,0,223.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DITJEY_FSR,0,0,0,0,285.977,190.651,190.651,0,0,0,0,0,15.473,5.157,0,0,0,0,224.1,0,0,4.032,16.128,0,0,0,0,0,0,0,0,0,0
core_DUDKUK_freeONLY,0,0,0,26.686,142.326,17.791,62.267,0,0,0,0,0,407.49,0,0,0,0,0,9.48,0,0,0,88.21,0,0,0,0,0,0,0,0,0,0
XEGRAF_FSR,0,0,0,0,28.42,28.42,0,0,0,0,0,0,84.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-irmof20_B-irmof7_B_No111,0,0,0,23.731,118.655,71.193,47.462,0,297.76,0,0,0,207.125,41.425,0,0,0,0,0,0,0,0.388,1.552,0,0,0,0,0,56.42,0,0,0,0
core_FIFMIS01_freeONLY,0,0,0,0,44.52,22.26,12.72,0,0,0,0,0,127.653,13.437,0,0,0,0,0,0,0,0,63.23,0,0,0,0,0,0,0,0,0,0
MOF-5_cooh_2_2075_1,0,0,0,0,728.044,291.217,145.609,0,0,0,0,0,212.35,0,0,0,0,0,0,0,0,35.779,429.351,0,0,0,0,0,0,0,0,0,0
SESHEG_FSR,0,0,0,0,62.28,23.355,7.785,0,0,0,0,0,465.79,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0
ACURUO_FSR,0,0,0,18.122,416.797,126.851,108.73,0,0,0,0,0,413.287,27.552,0,0,0,0,25.31,0,0,0,95.182,9.518,0,0,0,0,0,0,0,0,0
IZUMUM_FSR,0,0,0,8.151,8.151,24.454,16.303,0,0,0,0,0,174.421,69.769,0,0,0,44.138,176.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
